customer_id,full_name,age,state,monthly_income,account_balance,phone_number,employment-type,account_type,previous_loans,marital_status,education_level,registration date,credit_score
CUS029,  SARAH jibril  ,58.0,Anambra,268100,-786558,08063652883,Self-employed,Current,2,Widowed,Secondary,11-Feb-2017,659.0
CUS074,Sarah Okonkwo,62.0,Plateau,449275,4122207,08023402820,Self-employed,Current,0,Widowed,Secondary,2021-10-24,500.0
CUS243,Zainab Lawal,69.0,Zamfara,441302,2897818,08010465293,Self-employed,Student,4,Widowed,PhD,2021-10-29,802.0
CUS096,Blessing Eze,72.0,Kaduna,316525,3054931,08051214935,Student,Student,0,Divorced,Secondary,2017-08-30,386.0
CUS222,Ahmed Kalu,47.0,kebbi,335613,1280418,08052576883,Private,Student,0,Single,University,2023-09-29,588.0
CUS071,  EMEKA emeka  ,69.0,Kaduna,248423,4185344,08067885829,Student,Savings,0,Divorced,Masters,2022-08-25,447.0
CUS197,Esther Bello,66.0,Kano,309525,4327169,0806-657-3363,Private,Savings,0,Single,University,2021-10-31,823.0
CUS114,Tunde Lawal,38.0,Bayelsa,106594,557784,08098665641,Retired,Student,0,Married,PhD,2017-05-10,623.0
CUS823,Timothy Sani,72.0,Kogi,131789,3770123,0807-168-0764,Private,Current,3,Single,Secondary,2020-01-13,482.0
CUS014,,70.0,gombe,488346,3825386,08011095980,Retired,Savings,0,Married,PhD,2017-01-06,812.0
CUS098,Lawal Wale,32.0,Enugu,74882,792768,08018779204,Student,Fixed Deposit,4,Divorced,Masters,,691.0
,Halima Bello,18.0,Gombe,130929,1775155,080052591,Government,Fixed Deposit,5,Single,Primary,2024-04-11,382.0
CUS173,Kemi Okonkwo,42.0,Eki,,3950977,8088284144,Self-employed,Fixed Deposit,4,Divorced,Masters,2021-09-19,329.0
CUS102,Lydia Eze,77.0,Ebonyi,"₦278,498",650251,08074205238,Private,Current,1,Married,Secondary,2023-02-21,398.0
CUS073,Ola Okonkwo,72.0,Kogi,349129,984173,08066415068,Government,Current,3,Married,Primary,2015-08-11,743.0
CUS238,Olumide Bello,71.0,Kano,200476,738162,08099377765,Student,Savings,5,Single,University,2016-10-26,529.0
CUS126,Patricia Eze,41.0,kogi,468192,1886154,08058337053,Student,Student,1,Married,Masters,2021-08-29,706.0
CUS091,Yemi Okoro,35.0,An.AM.,126806,2154353,08088708080,Self-employed,Fixed Deposit,3,Married,Masters,28/09/2021,535.0
CUS044,Timothy Kalu,29.0,Abia,286334,3263312,08072189568,Retired,Savings,2,Married,Secondary,2024-09-14,423.0
CUS167,Patricia Musa,,Abia,257500,2656928,077464872,Self-employed,Student,3,Married,University,2018-09-07,739.0
CUS199,Emeka Garba,76.0,Yobe,87844,1696578,08087004886,Retired,Student,4,Widowed,Secondary,2015-09-05,-100.0
CUS229,Queen Eze,68.0,Osun,313722,3298806,08021234058,Retired,Current,4,Divorced,PhD,2016-03-11,585.0
,Halima Osei,52.0,Ebonyi,381696,3008251,0809 583 7251,Retired,Savings,0,Single,University,2023-02-15,715.0
,Rasheed Chioma,32.0,Ji.GA.,399113,757049,018497431,Private,Student,0,MARRIED,University,2021-02-03,800.0
CUS131,,37.0,Oyo,400530,4136162,08043730180,Retired,Student,1,Widow,Secondary,2023-02-20,550.0
CUS247,Stella Ogbonna,57.0,Zamfara,165615,258491,08056339903,Self-employed,Fixed Deposit,1,Single,Masters,2022-09-11,349.0
CUS109,Ngozi Adewale,77.0,Osu,227731,1874906,08019910312,Self-employed,Current,0,divorced,Primary,2017-09-26,451.0
CUS189,Ibrahim Emeka,76.0,Akwa Ibom,196607,351774,,Government,Student,0,Single,PhD,Invalid Date,465.0
CUS123,Raymond Adewale,54.0,Benue,137481,3441864,08020563396,Student,Fixed Deposit,3,Widowed,PhD,2020-08-04,540.0
CUS036,Sarah Chioma,18.0,Plateau,"₦313,327",2041519,08099903659,Government,Student,0,Separated,PhD,2018-03-18,767.0
CUS237,Esther Raji,51.0,  Jigawa  ,454482,2166763,08042444216,Retired,Savings,4,Divorced,Primary,2020-02-02,758.0
CUS249,Ola Adeyemi,38.0,Kwara,165026,3352965,08033750817,Retired,Savings,5,Single,University,2018-10-25,517.0
CUS220,Olumide Patel,53.0,Gombe,430796,1898774,08022892393,Private,Savings,5,Single,Secondary,2023-09-23,781.0
CUS127,Fatima Hassan,41.0,Lagos,256589,4910479,08076513340,Retired,Current,0,Married,PhD,2021-05-27,803.0
CUS136,Yemi Okoro,-5.0,Enugu,325309,3586586,08029898958,Student,Current,2,Widowed,University,2019-03-13,679.0
CUS075,Olumide Adeyemi,51.0,Jigawa,53242,1449962,+2348087648913,Self-employed,Current,3,D,Masters,24/02/2018,
CUS063,,36.0,Oyo,201662,3830597,8045954877,Private,Savings,0,Single,Masters,2018-03-29,616.0
CUS039,Ola Adewale,39.0,Nasarawa,31664,3493770,08040613354,Self-employed,Savings,4,Single,Masters,2015-01-20,319.0
CUS052,Uche Patel,73.0,Kwara,65505,2840325,08090192971,Private,Savings,3,Single,University,2019-05-13,336.0
CUS084,Blessing Mahmud,20.0,Bayelsa,390032,700820,08082921937,Student,Savings,1,Widowed,Masters,2017-10-08,
CUS288,Grace Qasim,45.0,Ebonyi,,2010211,08060579464,Student,Student,0,Single,Masters,2019-10-21,611.0
CUS068,Raymond Adebayo,,Imo,386803,965174,+2348046975588,Government,Fixed Deposit,0,Divorced,Primary,10-28-2023,602.0
CUS194,Sarah Chioma,21.0,Ondo,144345,4809737,070772927,Student,Student,0,Widowed,Secondary,2022-05-26,547.0
CUS235,Rasheed Ibrahim,64.0,Enugu,164438,3261450,08071643210,Retired,Current,2,Widowed,University,2016-06-06,775.0
CUS030,Victor Mahmud,53.0,Ond,424174,4379027,08059472642,Private,Student,0,Single,Secondary,2015-06-22,532.0
CUS076,Moses Ibrahim,30.0,Ondo,345364,4265561,08030414917,Government,Savings,4,Single,University,Invalid Date,430.0
CUS228,Esther Eze,32.0,Kogi,"₦200,708",3482674,08036581810,Government,Savings,0,Divorced,Primary,2022-03-20,364.0
CUS093,Peace Nwosu,37.0,Benue,312391,2577010,0805-679-9854,Retired,Savings,0,married,Masters,2023-02-19,720.0
CUS153,Ibrahim Garba,36.0,  Osun  ,239736,544740,08034719141,Self-employed,Student,4,Widowed,Secondary,03/09/2016,346.0
,Ola Sani,68.0,Borno,227802,407803,08061111891,Self-employed,Current,2,Married,Masters,2019-01-11,446.0
,Timothy Yusuf,61.0,Enugu,228014,3350374,08084651440,Retired,Current,None,Divorced,PhD,2022-08-04,831.0
CUS042,Kingsley Emeka,18.0,KWARA,173809,151377,08021542285,Self-employed,Savings,5,Widowed,University,2015-04-12,573.0
CUS015,Ngozi Adebayo,28.0,Bay,449884,1939646,08085752075,Government,Fixed Deposit,2,Married,PhD,23/08/2022,450.0
CUS245,Janet Igwe,35.0,Ondo,490779,3757056,08049537550,Private,Current,5,Divorced,University,2016-04-28,408.0
CUS118,Halima Kalu,70.0,Rivers,248120,-647567,+2348074312721,Retired,Student,0,Divorced,Secondary,2020-12-11,405.0
CUS215,Daniel Adebayo,61.0,Akwa Ibom,234839,2253565,08033553384,Self-employed,Student,4,Divorced,Primary,2024-03-22,718.0
CUS250,Sarah Hassan,80.0,Ondo,,4732139,08025081640,Self-employed,Savings,1,Married,Masters,2023-03-24,1000.0
CUS004,Emeka Bello,45.0,Kwara,90496,-911718,8036564085,Private,Current,2,single,Secondary,2022-07-04,456.0
CUS981,  IBRAHIM adewale  ,70.0,Gom,,2279936,08015717418,Government,Savings,Several,Widowed,Masters,11-07-2022,751.0
CUS181,Moses Okoro,22.0,Ekiti,430175,2516411,08011878802,Private,Current,1,Widowed,PhD,2021-12-15,480.0
CUS223,Zainab Sani,73.0,Ebonyi,40321,3130316,08099377008,Student,Fixed Deposit,3,Single,Primary,2023-04-01,776.0
CUS008,Ngozi Okafor,35.0,Kogi,378996,3112182,08022135081,Self-employed,Student,0,Widowed,PhD,2017-05-13,650.0
,Ola Yakubu,,Enugu,412104,254040,08033069526,Government,Student,4,Divorced,Masters,2018-06-27,694.0
CUS175,  LYDIA patel  ,66.0,Anambra,453619,4235372,08035916682,Private,Current,0,Divorced,Secondary,2022-08-10,411.0
CUS239,Uma Hassan,35.0,Cross River,172406,261806,08031090519,Retired,Savings,0,Divorced,Primary,2019-09-22,390.0
CUS048,Raymond Yusuf,28.0,Kwara,117655,2563654,08029064614,Self-employed,Student,0,D,PhD,03/11/2015,752.0
